id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,district_name,district_num,region_id,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,academic,old_profession,old_post,old_member,new_member,resignation_text
21253,2,mp-d11_1_skl9,9,Пашковський Максим Ігорович,Максим,Ігорович,Пашковський,М.І.,,29.08.2019,,"Виборчий округ № 11, Вінницька область",Виборчий округ № 11,11,5,Вінницька область,безпартійний,50,Безпартійний,,"освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, судимість відсутня, суб'єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/21253,http://static.rada.gov.ua/dep_img9/d11_1.jpg,d11_1,1,24.03.1983,Вища,,,директор,"ТОВ ""Панчер Солюшнс""",ні,так,
21039,3,mp-d12_1_skl9,9,Драбовський Анатолій Григорович,Анатолій,Григорович,Драбовський,А.Г.,,29.08.2019,,"Виборчий округ № 12, Вінницька область",Виборчий округ № 12,12,5,Вінницька область,безпартійний,50,Безпартійний,,"освіта вища, ректор, Вінницький кооперативний інститут, безпартійний, судимість відсутня, суб'єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/21039,http://static.rada.gov.ua/dep_img9/d12_1.jpg,d12_1,1,01.08.1958,Вища,Вінницький кооперативний інститут,ректор,,"ректор, Вінницький кооперативний інститут",ні,так,
18150,4,mp-d13_1_skl9,9,Юрчишин Петро Васильович,Петро,Васильович,Юрчишин,П.В.,,29.08.2019,,"Виборчий округ № 13, Вінницька область",Виборчий округ № 13,13,5,Вінницька область,безпартійний,50,Безпартійний,,"освіта вища, народний депутат України, безпартійний, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18150,http://static.rada.gov.ua/dep_img9/d13_1.jpg,d13_1,1,13.07.1958,Вища,,,народний депутат України,народний депутат України,так,ні,
20990,5,mp-d14_1_skl9,9,Борзова Ірина Наумівна,Ірина,Наумівна,Борзова,І.Н.,,29.08.2019,,"Виборчий округ № 14, Вінницька область",Виборчий округ № 14,14,5,Вінницька область,безпартійна,50,Безпартійний,,"освіта вища, фізична особа – підприємець, безпартійнa, судимість відсутня, суб'єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20990,http://static.rada.gov.ua/dep_img9/d14_1.jpg,d14_1,2,28.08.1982,Вища,,,фізична особа – підприємець,фізична особа – підприємець,ні,так,
20982,6,mp-d15_1_skl9,9,Білозір Лариса Миколаївна,Лариса,Миколаївна,Білозір,Л.М.,,29.08.2019,,"Виборчий округ № 15, Вінницька область",Виборчий округ № 15,15,5,Вінницька область,безпартійна,50,Безпартійний,,"освіта вища, виконавчий директор, громадська організація ""Життя та розвиток громад"", безпартійнa, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/20982,http://static.rada.gov.ua/dep_img9/d15_1.jpg,d15_1,2,24.09.1981,Вища,,,виконавчий директор,"громадська організація ""Життя та розвиток громад""",ні,так,
21006,7,mp-d16_1_skl9,9,Вацак Геннадій Анатолійович,Геннадій,Анатолійович,Вацак,Г.А.,,29.08.2019,,"Виборчий округ № 16, Вінницька область",Виборчий округ № 16,16,5,Вінницька область,безпартійний,50,Безпартійний,,"освіта професійно-технічна, директор департаменту маркетингу, ТОВ ""КОНДИТЕРСЬКИЙ ДІМ ""ВАЦАК"", безпартійний, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/21006,http://static.rada.gov.ua/dep_img9/d16_1.jpg,d16_1,1,09.02.1972,Професійно-технічна,,,директор департаменту маркетингу,"ТОВ ""КОНДИТЕРСЬКИЙ ДІМ ""ВАЦАК""",ні,так,
18112,8,mp-d17_1_skl9,9,Кучер Микола Іванович,Микола,Іванович,Кучер,М.І.,,29.08.2019,,"Виборчий округ № 17, Вінницька область",Виборчий округ № 17,17,5,Вінницька область,,104,Українська Народна Партія,,"освіта вища, народний депутат України, член Української Народної Партії, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18112,http://static.rada.gov.ua/dep_img9/d17_1.jpg,d17_1,1,24.08.1959,Вища,,,народний депутат України,народний депутат України,так,ні,
21230,9,mp-d18_1_skl9,9,Мейдич Олег Леонідович,Олег,Леонідович,Мейдич,О.Л.,,29.08.2019,,"Виборчий округ № 18, Вінницька область",Виборчий округ № 18,18,5,Вінницька область,,17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",,"освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об'єднання ""Батьківщина"", судимість відсутня, суб'єкт висування – політична партія Всеукраїнське об'єднання ""Батьківщина"".",http://itd.rada.gov.ua/mps/info/page/21230,http://static.rada.gov.ua/dep_img9/d18_1.jpg,d18_1,1,24.11.1970,Вища,,,фізична особа – підприємець,фізична особа – підприємець,ні,так,
14674,10,mp-d19_1_skl9,9,Гузь Ігор Володимирович,Ігор,Володимирович,Гузь,І.В.,,29.08.2019,,"Виборчий округ № 19, Волинська область",Виборчий округ № 19,19,7,Волинська область,безпартійний,50,Безпартійний,,"освіта вища, народний депутат України, безпартійний, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/14674,http://static.rada.gov.ua/dep_img9/d19_1.jpg,d19_1,1,11.01.1982,Вища,,,народний депутат України,народний депутат України,так,ні,
21208,11,mp-d20_1_skl9,9,Рубльов Вячеслав Володимирович,Вячеслав,Володимирович,Рубльов,В.В.,,29.08.2019,,"Виборчий округ № 20, Волинська область",Виборчий округ № 20,20,7,Волинська область,безпартійний,50,Безпартійний,,"освіта вища, радник голови, Волинська обласна рада, безпартійний, судимість відсутня, суб'єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/21208,http://static.rada.gov.ua/dep_img9/d20_1.jpg,d20_1,1,25.02.1979,Вища,,,радник голови,Волинська обласна рада,ні,так,
